,landing_penalty,none,EU4 landing combat penalty - no EU5 equivalent
,may_perform_slave_raid,none,EU4 slave raid permission (EU5 has auto_slave_raid)
,may_perform_slave_raid_on_same_religion,none,EU4 slave raid same religion - no EU5 equivalent
,coast_raid_range,none,EU4 coast raid range - no EU5 equivalent
,sea_repair,none,EU4 sea repair permission - partially covered by ship_repair_at_sea
,movement_speed_in_fleet_modifier,none,EU4 fleet movement speed - partially matched to navy_movement_speed
,max_flagships,none,EU4 max flagships - no EU5 equivalent
,number_of_cannons,none,EU4 ship cannons - no EU5 equivalent
,number_of_cannons_modifier,none,EU4 ship cannons modifier - no EU5 equivalent
,heavy_ship_number_of_cannons_modifier,none,EU4 heavy ship cannons - no EU5 equivalent
,light_ship_number_of_cannons_modifier,none,EU4 light ship cannons - no EU5 equivalent
,galley_number_of_cannons_modifier,none,EU4 galley cannons - no EU5 equivalent
,transport_number_of_cannons_modifier,none,EU4 transport cannons - no EU5 equivalent
,hull_size,none,EU4 ship hull size - no EU5 equivalent
,hull_size_modifier,none,EU4 hull size modifier - no EU5 equivalent
,heavy_ship_hull_size_modifier,none,EU4 heavy ship hull - no EU5 equivalent
,light_ship_hull_size_modifier,none,EU4 light ship hull - no EU5 equivalent
,galley_hull_size_modifier,none,EU4 galley hull - no EU5 equivalent
,transport_hull_size_modifier,none,EU4 transport hull - no EU5 equivalent
,engagement_cost,none,EU4 engagement width per ship - no EU5 equivalent
,engagement_cost_modifier,none,EU4 engagement width modifier - no EU5 equivalent
,ship_trade_power,none,EU4 ship trade power - no EU5 equivalent
,ship_trade_power_modifier,none,EU4 ship trade power modifier - no EU5 equivalent
,can_transport_units,none,EU4 non-transport ships transport ability - no EU5 equivalent
,admiral_skill_gain_modifier,none,EU4 flagship-related admiral skill - no EU5 equivalent
,flagship_durability,none,EU4 flagship modifier - no EU5 equivalent
,flagship_morale,none,EU4 flagship modifier - no EU5 equivalent
,flagship_naval_engagement_modifier,none,EU4 flagship modifier - no EU5 equivalent
,movement_speed_onto_off_boat_modifier,none,EU4 flagship disembark modifier - partially matches army_disembark_speed
,flagship_landing_penalty,none,EU4 flagship landing - no EU5 equivalent
,number_of_cannons_flagship_modifier,none,EU4 flagship cannons - no EU5 equivalent
,number_of_cannons_flagship,none,EU4 flagship cannons - no EU5 equivalent
,naval_maintenance_flagship_modifier,none,EU4 flagship maintenance - no EU5 equivalent
,trade_power_in_fleet_modifier,none,EU4 flagship fleet trade - no EU5 equivalent
,morale_in_fleet_modifier,none,EU4 flagship fleet morale - no EU5 equivalent
,blockade_impact_on_siege_in_fleet_modifier,none,EU4 flagship blockade impact - no EU5 equivalent
,exploration_mission_range_in_fleet_modifier,none,EU4 flagship exploration range - no EU5 equivalent
,barrage_cost_in_fleet_modifier,none,EU4 flagship barrage cost - no EU5 equivalent
,naval_attrition_in_fleet_modifier,none,EU4 flagship attrition - no EU5 equivalent
,privateering_efficiency_in_fleet_modifier,none,EU4 flagship privateer efficiency - no EU5 equivalent
,prestige_from_battles_in_fleet_modifier,none,EU4 flagship prestige - no EU5 equivalent
,naval_tradition_in_fleet_modifier,none,EU4 flagship tradition - no EU5 equivalent
,cannons_for_hunting_pirates_in_fleet,none,EU4 flagship pirate hunting - no EU5 equivalent
,has_geobukseon,none,EU4 Geobukseon ships - no EU5 equivalent
,allowed_geobukseon_fraction,none,EU4 Geobukseon fraction - no EU5 equivalent
,amount_of_geobukseon,none,EU4 Geobukseon amount - no EU5 equivalent
,has_galleass,none,EU4 Galleass ships - no EU5 equivalent
,allowed_galleass_fraction,none,EU4 Galleass fraction - no EU5 equivalent
,amount_of_galleass,none,EU4 Galleass amount - no EU5 equivalent
,has_voc_indiamen,none,EU4 VOC Indiamen ships - no EU5 equivalent
,allowed_voc_indiamen_fraction,none,EU4 VOC Indiamen fraction - no EU5 equivalent
,amount_of_voc_indiamen,none,EU4 VOC Indiamen amount - no EU5 equivalent
,has_man_of_war,none,EU4 Man of War ships - no EU5 equivalent
,allowed_man_of_war_fraction,none,EU4 Man of War fraction - no EU5 equivalent
,amount_of_man_of_war,none,EU4 Man of War amount - no EU5 equivalent
,has_galleon,none,EU4 Galleon ships - no EU5 equivalent
,allowed_galleon_fraction,none,EU4 Galleon fraction - no EU5 equivalent
,amount_of_galleon,none,EU4 Galleon amount - no EU5 equivalent
,has_caravel,none,EU4 Caravel ships - no EU5 equivalent
,allowed_caravel_fraction,none,EU4 Caravel fraction - no EU5 equivalent
,amount_of_caravel,none,EU4 Caravel amount - no EU5 equivalent
,envoy_travel_time,none,EU4 diplomat/merchant/colonist travel time - no EU5 equivalent
,province_warscore_cost,none,EU4 province warscore cost - no EU5 equivalent
,accept_vassalization_reasons,none,Already matched to EU5 accept_subjugation_reasons
,transfer_trade_power_reasons,none,EU4 transfer trade reasons - no EU5 equivalent
,monthly_federation_favor_growth,none,EU4 native federation favor - no EU5 equivalent
,monthly_favor_modifier,none,EU4 favors gained modifier - no EU5 equivalent
,cb_on_overseas,none,EU4 overseas CB - no EU5 equivalent
,idea_claim_colonies,none,EU4 colonial claim CB - no EU5 equivalent
,cb_on_government_enemies,none,EU4 government enemies CB flag - no EU5 equivalent
,cb_on_religious_enemies,none,EU4 religious enemies CB flag - no EU5 equivalent
,reduced_stab_impacts,none,EU4 stab hit reduction on diplo - no EU5 equivalent
,can_fabricate_for_vassals,none,EU4 fabricate for vassals - no EU5 equivalent
,state_maintenance_modifier,none,EU4 state maintenance - no EU5 equivalent (EU5 removed states)
,inflation_action_cost,none,EU4 reduce inflation cost - no EU5 equivalent
,may_not_reduce_inflation,none,EU4 inflation reduction block - no EU5 equivalent
,inflation_reduction,none,EU4 yearly inflation reduction - no EU5 equivalent
,monthly_gold_inflation_modifier,none,EU4 gold mine inflation - no EU5 equivalent
,gold_depletion_chance_modifier,none,EU4 gold mine depletion - no EU5 equivalent
,can_not_build_buildings,none,EU4 building block - no EU5 equivalent
,development_cost,none,EU4 development cost - no EU5 equivalent (EU5 removed dev clicking)
,development_cost_in_primary_culture,none,EU4 dev cost primary culture - no EU5 equivalent
,development_cost_modifier,none,EU4 development cost modifier - no EU5 equivalent
,tribal_development_growth,none,EU4 tribal dev growth - no EU5 equivalent
,add_tribal_land_cost,none,EU4 add tribal land - no EU5 equivalent
,global_allowed_num_of_buildings,none,EU4 building slots - no EU5 equivalent
,global_allowed_num_of_manufactories,none,EU4 manufactory slots - no EU5 equivalent
,great_project_upgrade_cost,none,EU4 great project upgrade - no EU5 equivalent
,great_project_upgrade_time,none,EU4 great project time - no EU5 equivalent
,global_monthly_devastation,none,EU4 monthly devastation - no EU5 equivalent
,administrative_efficiency,none,EU4 admin efficiency - partially covered by global_integration_speed_modifier & diplomatic_annexation_cost
,free_concentrate_development,none,EU4 free develop concentration - no EU5 equivalent
,expand_infrastructure_cost_modifier,none,EU4 expand infrastructure - no EU5 equivalent
,centralize_state_cost,none,EU4 centralize state - no EU5 equivalent
,core_creation,none,EU4 core creation cost - no EU5 equivalent
,core_decay_on_your_own,none,EU4 core decay - no EU5 equivalent
,enemy_core_creation,none,EU4 enemy core creation - no EU5 equivalent
,ignore_coring_distance,none,EU4 coring distance - no EU5 equivalent
,idea_cost,none,EU4 idea cost - no EU5 equivalent (EU5 removed ideas)
,institution_spread_from_true_faith,none,EU4 institution spread from faith - no EU5 equivalent
,native_advancement_cost,none,EU4 native advancement - no EU5 equivalent
,all_power_cost,none,EU4 all monarch power cost - no EU5 equivalent (EU5 removed monarch power)
,innovativeness_gain,none,EU4 innovativeness gain - no EU5 equivalent
,yearly_innovativeness,none,EU4 yearly innovativeness - no EU5 equivalent
,free_adm_policy,none,EU4 free admin policy - no EU5 equivalent
,free_dip_policy,none,EU4 free dip policy - no EU5 equivalent
,free_mil_policy,none,EU4 free mil policy - no EU5 equivalent
,possible_adm_policy,none,EU4 admin policy slots - no EU5 equivalent
,possible_dip_policy,none,EU4 dip policy slots - no EU5 equivalent
,possible_mil_policy,none,EU4 mil policy slots - no EU5 equivalent
,possible_policy,none,EU4 all policy slots - no EU5 equivalent
,free_policy,none,EU4 all free policies - no EU5 equivalent
,country_admin_power,none,EU4 monthly admin power - no EU5 equivalent (EU5 removed monarch power)
,country_diplomatic_power,none,EU4 monthly dip power - no EU5 equivalent
,country_military_power,none,EU4 monthly mil power - no EU5 equivalent
,monthly_splendor,none,EU4 splendor points - no EU5 equivalent
,yearly_corruption,none,EU4 yearly corruption - no EU5 equivalent
,same_culture_advisor_cost,none,EU4 same culture advisor cost - no EU5 equivalent
,same_religion_advisor_cost,none,EU4 same religion advisor cost - no EU5 equivalent
,advisor_pool,none,EU4 advisor pool size - no EU5 equivalent
,female_advisor_chance,none,EU4 female advisor chance - no EU5 equivalent
,heir_chance,none,EU4 heir generation chance - no EU5 equivalent
,monthly_heir_claim_increase,none,EU4 heir claim increase - no EU5 equivalent
,monthly_heir_claim_increase_modifier,none,EU4 heir claim modifier - no EU5 equivalent
,block_introduce_heir,none,EU4 introduce heir block - no EU5 equivalent
,monarch_admin_power,none,EU4 monarch ADM skill - no EU5 equivalent
,monarch_diplomatic_power,none,EU4 monarch DIP skill - no EU5 equivalent
,monarch_military_power,none,EU4 monarch MIL skill - no EU5 equivalent
,adm_advisor_cost,none,EU4 admin advisor cost - no EU5 equivalent
,dip_advisor_cost,none,EU4 dip advisor cost - no EU5 equivalent
,mil_advisor_cost,none,EU4 mil advisor cost - no EU5 equivalent
,monthly_support_heir_gain,none,EU4 elective monarchy heir support - no EU5 equivalent
,power_projection_from_insults,none,EU4 PP from insults - no EU5 equivalent
,local_heir_adm,none,EU4 elective heir ADM - no EU5 equivalent
,local_heir_dip,none,EU4 elective heir DIP - no EU5 equivalent
,local_heir_mil,none,EU4 elective heir MIL - no EU5 equivalent
,national_focus_years,none,EU4 national focus cooldown - no EU5 equivalent
,yearly_absolutism,none,EU4 absolutism - no EU5 equivalent
,max_absolutism,none,EU4 max absolutism - no EU5 equivalent
,max_absolutism_effect,none,EU4 max absolutism effect - no EU5 equivalent
,<government_power_type_id>_gain_modifier,none,EU4 gov power gain - no EU5 equivalent
,monthly_<government_power_type_id>,none,EU4 gov mechanic power - no EU5 equivalent
,yearly_government_power,none,EU4 gov power yearly - no EU5 equivalent
,<faction>_influence,none,EU4 faction influence - no EU5 equivalent
,imperial_mandate,none,EU4 Chinese mandate - no EU5 equivalent
,candidate_random_bonus,none,EU4 republic candidate bonus - no EU5 equivalent
,reelection_cost,none,EU4 reelection cost - no EU5 equivalent
,max_terms,none,EU4 max terms - no EU5 equivalent
,governing_capacity,none,EU4 governing capacity - no EU5 equivalent (EU5 removed states)
,governing_capacity_modifier,none,EU4 governing capacity modifier - no EU5 equivalent
,governing_cost,none,EU4 governing cost - no EU5 equivalent
,state_governing_cost,none,EU4 state governing cost - no EU5 equivalent
,territories_governing_cost,none,EU4 territories governing cost - no EU5 equivalent
,trade_company_governing_cost,none,EU4 trade company gov cost - no EU5 equivalent
,state_governing_cost_increase,none,EU4 state gov cost increase - no EU5 equivalent
,expand_administration_cost,none,EU4 expand admin cost - no EU5 equivalent
,yearly_revolutionary_zeal,none,EU4 revolutionary zeal - no EU5 equivalent
,max_revolutionary_zeal,none,EU4 max revolutionary zeal - no EU5 equivalent
,reform_progress_growth,none,EU4 reform progress from autonomy - no EU5 equivalent
,monthly_reform_progress,none,EU4 monthly reform progress - no EU5 equivalent
,monthly_reform_progress_modifier,none,EU4 reform progress modifier - no EU5 equivalent
,can_revoke_parliament_seats,none,EU4 revoke parliament seats - no EU5 equivalent
,parliament_chance_of_decision,none,EU4 parliament decision chance - no EU5 equivalent
,num_of_parliament_issues,none,EU4 parliament issues count - no EU5 equivalent
,max_possible_parliament_seats,none,EU4 max parliament seats - no EU5 equivalent
,<estate>_influence_modifier,none,EU4 estate influence - EU5 uses different estate system
,<estate>_loyalty_modifier,none,EU4 estate loyalty - EU5 uses estate satisfaction instead
,<estate>_privilege_slots,none,EU4 estate privilege slots - no EU5 equivalent
,all_estate_influence_modifier,none,EU4 all estate influence - no EU5 equivalent
,all_estate_loyalty_equilibrium,none,EU4 all estate loyalty - no EU5 equivalent
,all_estate_possible_privileges,none,EU4 all estate privileges - no EU5 equivalent
,allow_free_estate_privilege_revocation,none,EU4 free estate revocation - no EU5 equivalent
,loyalty_change_on_revoked,none,EU4 revoke loyalty hit - no EU5 equivalent
,estate_interaction_cooldown_modifier,none,EU4 estate interaction cooldown - no EU5 equivalent
,imperial_authority_value,none,Already matched to EU5 monthly_imperial_authority
,free_city_imperial_authority,none,EU4 free city IA - no EU5 equivalent
,imperial_mercenary_cost,none,EU4 HRE merc cost - partially matched to hre_army_building_cost_modifier
,max_free_cities,none,EU4 max free cities - no EU5 equivalent
,max_electors,none,EU4 max electors - no EU5 equivalent
,legitimate_subject_elector,none,EU4 elector desire - no EU5 equivalent
,manpower_against_imperial_enemies,none,EU4 manpower vs imperial enemies - no EU5 equivalent
,imperial_reform_catholic_approval,none,EU4 HRE reform approval - no EU5 equivalent
,culture_conversion_cost,none,EU4 culture conversion cost - no EU5 equivalent
,culture_conversion_time,none,EU4 culture conversion time - no EU5 equivalent
,num_accepted_cultures,none,Already matched to EU5 cultures_capacity
,relation_with_same_culture,none,EU4 relation same culture - no EU5 equivalent
,relation_with_same_culture_group,none,EU4 relation culture group - no EU5 equivalent
,relation_with_accepted_culture,none,EU4 relation accepted culture - no EU5 equivalent
,relation_with_other_culture,none,EU4 relation other culture - no EU5 equivalent
,can_not_declare_war,none,Already matched to EU5 blocked_from_declaring_war
,global_unrest,none,EU4 unrest - no EU5 equivalent (EU5 uses pop_join_rebel_threshold)
,global_autonomy,none,EU4 autonomy - no EU5 equivalent (EU5 removed autonomy)
,min_autonomy,none,EU4 min autonomy - no EU5 equivalent
,autonomy_change_time,none,EU4 autonomy cooldown - no EU5 equivalent
,harsh_treatment_cost,none,EU4 harsh treatment - no EU5 equivalent
,global_rebel_suppression_efficiency,none,EU4 rebel suppression - no EU5 equivalent
,min_autonomy_in_territories,none,EU4 territory autonomy - no EU5 equivalent
,unrest_catholic_provinces,none,EU4 Catholic unrest - no EU5 equivalent
,no_stability_loss_on_monarch_death,none,EU4 no stab loss on death - no EU5 equivalent
,overextension_impact_modifier,none,EU4 overextension - no EU5 equivalent
,vassal_forcelimit_bonus,none,EU4 vassal FL bonus - partially matched via subject types
,vassal_naval_forcelimit_bonus,none,EU4 vassal naval FL - no EU5 equivalent
,vassal_manpower_bonus,none,EU4 vassal manpower - no EU5 equivalent
,vassal_sailors_bonus,none,EU4 vassal sailors - no EU5 equivalent
,overlord_naval_forcelimit,none,EU4 overlord naval FL - no EU5 equivalent
,overlord_naval_forcelimit_modifier,none,EU4 overlord naval FL modifier - no EU5 equivalent
,can_transfer_vassal_wargoal,none,EU4 transfer vassal wargoal - no EU5 equivalent
,liberty_desire,none,EU4 liberty desire - inverse of EU5 loyalty_to_overlord (already matched)
,liberty_desire_from_subject_development,none,EU4 liberty from dev - no EU5 equivalent
,reduced_liberty_desire,none,EU4 reduced liberty desire - no EU5 equivalent
,reduced_liberty_desire_on_same_continent,none,EU4 reduced LD same continent - no EU5 equivalent
,reduced_liberty_desire_on_other_continent,none,EU4 reduced LD other continent - no EU5 equivalent
,allow_client_states,none,EU4 client state permission - partially matched to allow_subjects
,colonial_type_change_cost_modifier,none,EU4 colonial type change - no EU5 equivalent
,colonial_subject_type_upgrade_cost_modifier,none,EU4 colonial upgrade - no EU5 equivalent
,years_to_integrate_personal_union,none,EU4 PU integration years - partially matched to annexation_speed_base
,chance_to_inherit,none,EU4 PU inheritance chance - no EU5 equivalent
,monarch_power_tribute,none,EU4 tributary monarch power - no EU5 equivalent
,tributary_conversion_cost_modifier,none,EU4 tributary conversion - no EU5 equivalent
,annexation_relations_impact,none,EU4 annexation relations - no EU5 equivalent
,claim_duration,none,EU4 claim duration - no EU5 equivalent
,can_chain_claim,none,EU4 chain claim - no EU5 equivalent
,discovered_relations_impact,none,EU4 discovered espionage relations - no EU5 equivalent
,rebel_support_efficiency,none,EU4 rebel support - no EU5 equivalent
,can_claim_states,none,EU4 claim states - no EU5 equivalent
,no_claim_cost_increasement,none,EU4 no claim cost increase - no EU5 equivalent
,spy_action_cost_modifier,none,EU4 spy action cost - no EU5 equivalent
,global_missionary_strength,none,EU4 missionary strength - partially matched to building_missionary_effort_modifier
,can_not_build_missionaries,none,Already matched to EU5 blocked_from_conversion
,may_not_convert_territories,none,EU4 no territory conversion - no EU5 equivalent
,missionaries,none,EU4 missionary count - no EU5 equivalent
,missionary_maintenance_cost,none,EU4 missionary maintenance - no EU5 equivalent
,religious_unity,none,EU4 religious unity - no EU5 equivalent
,tolerance_of_heretics_capacity,none,EU4 max heretic tolerance - no EU5 equivalent
,tolerance_of_heathens_capacity,none,EU4 max heathen tolerance - no EU5 equivalent
,papal_influence_from_cardinals,none,EU4 papal influence from cardinals - no EU5 equivalent
,curia_treasury_contribution,none,EU4 curia treasury - no EU5 equivalent
,monthly_church_power,none,EU4 church power - no EU5 equivalent
,church_power_modifier,none,EU4 church power modifier - no EU5 equivalent
,monthly_fervor_increase,none,EU4 Reformed fervor - no EU5 equivalent
,yearly_patriarch_authority,none,EU4 Orthodox patriarch authority - no EU5 equivalent
,monthly_piety,none,EU4 Muslim piety - no EU5 equivalent (EU5 has monthly_purity but different)
,monthly_piety_accelerator,none,EU4 piety accelerator - no EU5 equivalent
,harmonization_speed,none,EU4 Confucian harmonization - no EU5 equivalent (EU5 has monthly_harmony)
,monthly_karma_accelerator,none,EU4 karma accelerator - no EU5 equivalent
,yearly_doom_reduction,none,EU4 doom reduction - no EU5 equivalent
,yearly_authority,none,EU4 Inti authority - no EU5 equivalent
,enforce_religion_cost,none,EU4 enforce religion cost - no EU5 equivalent
,prestige_per_development_from_conversion,none,EU4 prestige from conversion - no EU5 equivalent
,establish_order_cost,none,EU4 establish order - no EU5 equivalent
,global_religious_conversion_resistance,none,EU4 conversion resistance - no EU5 equivalent
,relation_with_same_religion,none,EU4 relation same religion - no EU5 equivalent
,relation_with_heretics,none,EU4 relation heretics - no EU5 equivalent
,relation_with_heathens,none,EU4 relation heathens - no EU5 equivalent
,reverse_relation_with_same_religion,none,EU4 reverse relation same religion - no EU5 equivalent
,reverse_relation_with_heretic_religion,none,EU4 reverse relation heretic - no EU5 equivalent
,reverse_relation_with_heathen_religion,none,EU4 reverse relation heathen - no EU5 equivalent
,no_religion_penalty,none,EU4 no religion penalty - no EU5 equivalent
,extra_manpower_at_religious_war,none,EU4 religious war manpower - no EU5 equivalent
,can_not_build_colonies,none,Already matched to EU5 can_colonize (inverse)
,colonists,none,EU4 colonist count - no EU5 equivalent
,colonist_placement_chance,none,EU4 colonist placement - partially matched to colonial_migration_size_modifier
,native_uprising_chance,none,EU4 native uprising - no EU5 equivalent
,native_assimilation,none,EU4 native assimilation - no EU5 equivalent
,migration_cost,none,EU4 primitive migration - no EU5 equivalent
,global_tariffs,none,EU4 colonial tariffs - partially matched to subject_pays_colonial_cost_modifier
,treasure_fleet_income,none,EU4 treasure fleet income - partially matched to treasure_voyage_cargo_size_modifier
,expel_minorities_cost,none,EU4 expel minorities - no EU5 equivalent
,auto_explore_adjacent_to_colony,none,EU4 auto-explore near colony - no EU5 equivalent
,may_establish_frontier,none,EU4 Siberian frontier - no EU5 equivalent
,free_maintenance_on_expl_conq,none,EU4 free explorer maintenance - no EU5 equivalent
,colony_development_boost,none,EU4 colony dev boost - no EU5 equivalent
,caravan_power,none,EU4 caravan power (inland nodes) - no EU5 equivalent
,can_not_send_merchants,none,EU4 merchant send block - no EU5 equivalent
,merchants,none,EU4 merchant count - no EU5 equivalent
,placed_merchant_power,none,EU4 placed merchant power - no EU5 equivalent
,placed_merchant_power_modifier,none,EU4 placed merchant modifier - no EU5 equivalent
,global_trade_power,none,EU4 global trade power - partially matched to global_merchant_power
,global_foreign_trade_power,none,EU4 foreign trade power - no EU5 equivalent
,global_own_trade_power,none,EU4 domestic trade power - no EU5 equivalent
,global_prov_trade_power_modifier,none,EU4 province trade power - no EU5 equivalent
,global_trade_goods_size_modifier,none,EU4 trade good size modifier - no EU5 equivalent
,global_trade_goods_size,none,EU4 trade good size - no EU5 equivalent
,trade_efficiency,none,Already matched to EU5 trade_income
,trade_steering,none,EU4 trade steering - no EU5 equivalent
,global_ship_trade_power,none,EU4 ship trade power - no EU5 equivalent
,privateer_efficiency,none,EU4 privateer efficiency - no EU5 equivalent
,embargo_efficiency,none,EU4 embargo efficiency - no EU5 equivalent
,ship_power_propagation,none,EU4 trade power propagation - no EU5 equivalent
,center_of_trade_upgrade_cost,none,EU4 CoT upgrade cost - no EU5 equivalent
,trade_company_investment_cost,none,EU4 TC investment - no EU5 equivalent
,mercantilism_cost,none,EU4 mercantilism - no EU5 equivalent
,reduced_trade_penalty_on_non_main_tradenode,none,EU4 non-main node trade - no EU5 equivalent
,<tech>_cost_modifier,none,EU4 specific tech cost - no EU5 equivalent (EU5 uses research_speed)
,technology_cost,none,EU4 all tech cost - partially matched to research_speed_modifier
,embracement_cost,none,Already matched to EU5 absorb_institutions_cost_modifier & embrace_institution_cost_modifier
,global_institution_spread,none,Already matched to EU5 global_institution_growth_modifier
,ae_impact,none,Already matched to EU5 aggressiveness_modifier
